-52.000000_S1	52.000000_S1	192.000000_S1
-52.000000_S1	52.000000_S1	192.000000_S1
-4.000000_S2	4.000000_S2	128.000000_S2
-52.000000_S1	52.000000_S1	192.000000_S1	-4.000000_S2	4.000000_S2	128.000000_S2
-52.000000_S1	52.000000_S1	192.000000_S1	-4.000000_S2	4.000000_S2
-52.000000_S1	52.000000_S1	-4.000000_S2	4.000000_S2
-52.000000_S1	52.000000_S1	192.000000_S1
